Date,Open,High,Low,Close,Adj Close,Volume
2/19/19,42.427502,42.860001,42.372501,42.732498,41.138531,75891200
2/20/19,42.797501,43.330002,42.747501,43.0075,41.403263,104457600
2/21/19,42.950001,43.092499,42.575001,42.764999,41.169823,68998800
2/22/19,42.895,43.25,42.845001,43.2425,41.629509,75652800
2/25/19,43.540001,43.967499,43.487499,43.557499,41.932747,87493600
2/26/19,43.427502,43.825001,43.2925,43.5825,41.956829,68280800
2/27/19,43.302502,43.75,43.182499,43.717499,42.086781,111341600
2/28/19,43.580002,43.727501,43.23,43.287498,41.672821,112861600
3/1/19,43.57,43.787498,43.2225,43.7425,42.110859,103544800
3/4/19,43.922501,44.4375,43.4925,43.962502,42.322643,109744800
3/5/19,43.985001,44,43.634998,43.8825,42.245636,78949600
3/6/19,43.6675,43.872501,43.485001,43.630001,42.002556,83241600
3/7/19,43.467499,43.610001,43.005001,43.125,41.516384,99185600
3/8/19,42.580002,43.267502,42.375,43.227501,41.615063,95997600
3/11/19,43.872501,44.779999,43.837502,44.724998,43.056705,128044000
3/12/19,45,45.6675,44.842499,45.227501,43.540462,129870400
3/13/19,45.5625,45.825001,45.23,45.427502,43.733002,124130000
3/14/19,45.974998,46.025002,45.639999,45.932499,44.219162,94318000
3/15/19,46.212502,46.8325,45.935001,46.529999,44.794373,156171600
3/18/19,46.450001,47.0975,46.447498,47.005001,45.251667,104879200
3/19/19,47.087502,47.247501,46.48,46.6325,44.893051,126585600
3/20/19,46.557499,47.372501,46.182499,47.040001,45.285362,124140800
3/21/19,47.505001,49.0825,47.452499,48.772499,46.953232,204136800
3/22/19,48.834999,49.422501,47.695,47.762501,45.980904,169630800
3/25/19,47.877499,47.994999,46.650002,47.185001,45.424953,175381200
3/26/19,47.915001,48.220001,46.145,46.697498,44.955627,199202000
3/27/19,47.1875,47.439999,46.637501,47.1175,45.35997,119393600
3/28/19,47.237499,47.389999,46.8825,47.18,45.420135,83121600
3/29/19,47.4575,47.52,47.134998,47.487499,45.71616,94256000
4/1/19,47.91,47.919998,47.095001,47.810001,46.026634,111448000
4/2/19,47.772499,48.615002,47.762501,48.505001,46.695705,91062800
